照護團隊名稱／諮詢電話,醫事機構名稱,醫事機構電話,醫事機構地址,居家醫療醫療,重度居家醫療,安寧居家療護,居家呼吸照護,居家中醫醫療,居家藥事照護,在宅急症照護,近三個月有收案
07-3121101分機5364,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,快安診所,07-3895420,高雄市三民區立忠路２９號１樓（地圖),1,,,,,,1,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
高醫社區照護中心,儲昭仁耳鼻喉科診所,07-3890470,高雄市三民區九如一路８５４號１樓（地圖),1,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,育明診所,07-3478461,高雄市三民區民族一路５３７號一樓．二樓（地圖),1,,,,,,,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
阮綜合社區居家醫療群,大慶耳鼻喉科診所,07-3596393,高雄市三民區鼎中路２２９號１樓（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高醫社區照護中心,開元診所,07-3107027,高雄市三民區明誠一路２９６號１樓（地圖),1,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,正中診所,07-3809900,高雄市三民區正忠路１８號一樓（地圖),1,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,黃學武家庭醫學科診所,07-3815668,高雄市三民區大昌二路２３號１樓（地圖),1,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
阮綜合社區居家醫療群,元成診所,07-3903808,高雄市三民區寶業里陽明路８１號１樓（地圖),1,,,,,,,1
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,後驛診所,07-3134133,高雄市三民區察哈爾二街１９號１樓（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,清水診所,07-2210976,高雄市新興區林森一路１０７之１號（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,展華內兒科診所,07-2386222,高雄市新興區八德一路１８２號（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,毛重富耳鼻喉科診所,07-2350168,高雄市新興區復興一路１０７－１號（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄民生醫院,蘇素環神經科診所,07-2366661,高雄市新興區南港里忠孝一路５０８號一樓、５０６號一樓（地圖),1,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
高雄民生醫院,晉安復健科診所,07-2416888,高雄市新興區五福二路１５８號１樓２樓３樓（地圖),1,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,蘇鉉釗耳鼻喉科診所,07-2379119,高雄市新興區林森一路２７４、２７６號１－２樓（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,偉峰診所,07-2222123,高雄市新興區復興一路１６號一樓（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
國高總,,,,,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
,,,,,,,,,,,
國軍左營醫院,,,,,,,,,,,
07-5817121#3426,,,,,,,,,,,
07-5886757,,,,,,,,,,,
,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
小港居家照護中心,吳國欽內科診所,07-2870789,高雄市新興區民主路７１號一樓（地圖),1,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
阮綜合社區居家醫療群,張清雲內科家醫科診所,07-3314071,高雄市苓雅區成功一路１５５號2樓（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,林國坤診所,07-7225391,高雄市苓雅區建國一路１１５之４號（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
國高總,徐獨立診所,07-7133284,高雄市苓雅區福人里武慶三路１４４號（地圖),1,,,,,,,1
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
,,,,,,,,,,,
聖功,,,,,,,,,,,
07-2238153#2290,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
阮綜合社區居家醫療群,鍾展生耳鼻喉科診所,07-7719595,高雄市苓雅區武慶三路８４號（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,蔣小兒科診所,07-2220838,高雄市苓雅區安祥里泰順街６４號（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,鎮安診所,07-7156166,高雄市苓雅區輔仁路１１６號（地圖),1,,,,,,,1
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,王勇智耳鼻喉科診所,07-7253460,高雄市苓雅區四維二路２４７號（地圖),1,,,,,,,
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
國高總,劉永豐診所,07-7492636,高雄市苓雅區建國一路15-1號一.二樓（地圖),1,,,,,,,1
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
,,,,,,,,,,,
聖功,,,,,,,,,,,
07-2238153#2290,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
岡山居家醫療照護整合,,,,,,,,,,,
07-6258989,,,,,,,,,,,
07-6261515,,,,,,,,,,,
,,,,,,,,,,,
小港居家照護中心,,,,,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
,,,,,,,,,,,
高雄民生醫院,,,,,,,,,,,
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
高聯醫,童春診所,07-7210983,高雄市苓雅區武慶三路９８號（地圖),1,,,,,,,1
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,,,,,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
高醫社區照護中心,楊家福診所,07-7160933,高雄市苓雅區大順三路５２號１，２樓（地圖),1,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,小太陽診所,07-2267753,高雄市苓雅區和平一路１５０號（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
阮綜合社區居家醫療群,黃寶慧婦產科診所,07-3308365,高雄市苓雅區三多三路１２４號１樓（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
高雄榮民總醫院居家醫療照護團隊,一誠診所,07-7511156,高雄市苓雅區建國一路１１５號之５（地圖),1,,,,,,,
975581850,,,,,,,,,,,
975581573,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
國高總,吳三江內科診所,07-2222088,高雄市苓雅區憲政路２４０號(１、２、３、４樓)（地圖),1,,,,,,,1
07-7495468,,,,,,,,,,,
906728166,,,,,,,,,,,
,,,,,,,,,,,
聖功,,,,,,,,,,,
07-2238153#2290,,,,,,,,,,,
,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高雄民生醫院,展穎診所,07-7130822,高雄市苓雅區四維一路１５７號（地圖),1,,,,,,1,1
07-7511131#2243,,,,,,,,,,,
963001083,,,,,,,,,,,
,,,,,,,,,,,
阮綜合社區居家醫療群,,,,,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
阮綜合社區居家醫療群,謝麗煌小兒科內科診所,07-7716485,高雄市前鎮區瑞崗里隆興街１５１號（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
阮綜合社區居家醫療群,邱仲禮診所,07-8211363,高雄市前鎮區鎮榮街４５號（地圖),1,,,,,,,1
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
阮綜合社區居家醫療群,聖青診所,07-8310970,高雄市前鎮區草衙一路１１２號（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
阮綜合社區居家醫療群,張朝金家庭醫學科外科診所,07-7119401,高雄市前鎮區瑞隆路６３１號（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
阮綜合社區居家醫療群,瑞安診所,07-7616420,高雄市前鎮區公正路２６８號（地圖),1,,,,,,,1
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
阮綜合社區居家醫療群,吳信宏耳鼻喉科小兒科診所,07-3334258,高雄市前鎮區三多二路４０１號（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
小港居家照護中心,昭哲診所,07-7136366,高雄市前鎮區永豐路２１４號１樓（地圖),1,,,,,,,
07-8036783#3131,,,,,,,,,,,
975357402,,,,,,,,,,,
07-8036783#3025,,,,,,,,,,,
,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
惠德醫院居家醫療團隊,吉泰內科診所,07-7616000,高雄市前鎮區保泰路４１９號（地圖),1,,,,,,,
07-8126000#1707,,,,,,,,,,,
07-8126000#1715,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
高醫社區照護中心,慶大診所,07-5366226,高雄市前鎮區中華五路９９３號２樓（地圖),1,,,,,,,1
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
,,,,,,,,,,,
高聯醫,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
975687365,,,,,,,,,,,
07-5552565#2162,,,,,,,,,,,
阮綜合社區居家醫療群,聖心皮膚科診所,07-8013570,高雄市小港區漢民路１９６號一樓（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
阮綜合社區居家醫療群,小林診所,07-8711285,高雄市小港區鳳林路67號1樓（地圖),1,,,,,,,
07-5354533,,,,,,,,,,,
975087956,,,,,,,,,,,
,,,,,,,,,,,
高醫社區照護中心,,,,,,,,,,,
07-3121101#9,,,,,,,,,,,
07-3121101分機5364,,,,,,,,,,,
豐原醫院居家醫療,楊啟坤耳鼻喉科診所,04-25279800,臺中市豐原區豐東路１６號１樓（地圖),1,,1,,,,1,1
04-25271180,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
國際慈善事業聯盟,,,,,,,,,,,
963354973,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
,,,,,,,,,,,
豐之采,,,,,,,,,,,
04-25254607,,,,,,,,,,,
,,,,,,,,,,,
慈心,,,,,,,,,,,
04-22910337,,,,,,,,,,,
天使團隊,仁德診所,04-25278561,臺中市豐原區中山路２９５號１、２、３、４樓（地圖),1,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
心分享,陸建民診所,04-25271688,臺中市豐原區中山路４０５號１樓、２樓（地圖),1,,,,,,,
04-25345885,,,,,,,,,,,
慈心,禾安診所,04-25231588,臺中市豐原區永康路３１２號１樓（地圖),1,,,,,,,1
04-22910337,,,,,,,,,,,
,,,,,,,,,,,
豐之采,,,,,,,,,,,
04-25254607,,,,,,,,,,,
家康,如毅診所,04-25263806,臺中市豐原區中興路１１２號１、２、３、４樓（地圖),1,,,,,,,1
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
中國醫藥大學附設醫院,,,,,,,,,,,
0422052121#12656,,,,,,,,,,,
,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
國際慈善事業聯盟,,,,,,,,,,,
963354973,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
豐之采,禾醫診所,04-25297411,臺中市豐原區豐南街２４６號１樓（地圖),1,,,,,,1,
04-25254607,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
,,,,,,,,,,,
豐原醫院居家醫療,,,,,,,,,,,
04-25271180,,,,,,,,,,,
長安醫院居家醫療照護團隊,成福診所,04-25225049,臺中市豐原區和平街４７號１樓（地圖),1,,,,,,1,1
0436113611-3692,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
豐原醫院居家醫療,,,,,,,,,,,
04-25271180,,,,,,,,,,,
平安(原名稱:微笑東勢),林錦芳診所,04-25771838,臺中市東勢區豐勢路２８３號１樓（地圖),1,,,,,,,
800532870,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
平安(原名稱:微笑東勢),東勢潘耳鼻喉科診所,04-25880587,臺中市東勢區中寧里豐勢路４９６號１樓（地圖),1,,,,,,,1
800532870,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
心分享,元和診所,04-25872113,臺中市東勢區豐勢路３１８號１樓（地圖),1,,,,,,,1
04-25345885,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
心分享,仁慈診所,04-25872113,臺中市東勢區豐勢路３１８號１樓、２樓（地圖),1,,,,,,,
04-25345885,,,,,,,,,,,
中山,陳瑞明診所,04-25888355,臺中市東勢區豐勢路５４８號１樓、２樓（地圖),1,,,,,,,1
04-36032871,,,,,,,,,,,
,,,,,,,,,,,
豐原醫院居家醫療,,,,,,,,,,,
04-25271180,,,,,,,,,,,
AA,青年診所,04-26810837,臺中市大甲區日南里青年路８之１號１樓（地圖),1,,,,,,,
光田醫院,安榮診所,04-26863252,臺中市大甲區民生路１８號１樓（地圖),1,,,,,,1,1
0426365000-2105,,,,,,,,,,,
0426625111-2046,,,,,,,,,,,
,,,,,,,,,,,
慈心,,,,,,,,,,,
04-22910337,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
家康,大元診所,04-26802250,臺中市大甲區順天路１３６號１樓（地圖),1,,,,,,1,
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
,,,,,,,,,,,
童一家,,,,,,,,,,,
963183781,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
國際慈善事業聯盟,,,,,,,,,,,
963354973,,,,,,,,,,,
,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
臺中榮民總醫院,全信賴診所,04-26762248,臺中市大甲區甲后路５段２６７號１樓、２樓（地圖),1,,,,,,,
23592525#3817,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
豐之采,,,,,,,,,,,
04-25254607,,,,,,,,,,,
,,,,,,,,,,,
慈心,,,,,,,,,,,
04-22910337,,,,,,,,,,,
,,,,,,,,,,,
光田醫院,,,,,,,,,,,
0426365000-2105,,,,,,,,,,,
0426625111-2046,,,,,,,,,,,
天使團隊,清水區向陽耳鼻喉科診所,04-26228595,臺中市清水區中山路２４３－２號１樓（地圖),1,,,,,,1,1
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
光田醫院,,,,,,,,,,,
0426365000-2105,,,,,,,,,,,
0426625111-2046,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
臺中榮民總醫院,中華博士診所,04-26282417,臺中市清水區中華路６３３號２樓（地圖),1,,,,,,1,1
23592525#3817,,,,,,,,,,,
,,,,,,,,,,,
童一家,,,,,,,,,,,
963183781,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
澄清綜合醫院中港分院,,,,,,,,,,,
24632000#32646,,,,,,,,,,,
24632000#32648,,,,,,,,,,,
,,,,,,,,,,,
光田醫院,,,,,,,,,,,
0426365000-2105,,,,,,,,,,,
0426625111-2046,,,,,,,,,,,
童一家,優醫五權健康診所,04-26261285,臺中市清水區五權路５９－５號１樓（地圖),1,,,,,,1,1
963183781,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
童一家,清水博佑診所,04-26228080,臺中市清水區新興路５７號１樓（地圖),1,,,,,,,1
963183781,,,,,,,,,,,
,,,,,,,,,,,
光田醫院,,,,,,,,,,,
0426365000-2105,,,,,,,,,,,
0426625111-2046,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
,,,,,,,,,,,
樸善居家醫療團隊,,,,,,,,,,,
04-22657959,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
臺中榮民總醫院,新活力診所,04-26622395,臺中市沙鹿區中山路４９３之２號１樓（地圖),1,,,,,,,
23592525#3817,,,,,,,,,,,
天使團隊,醫達人診所,04-26315951,臺中市沙鹿區正義路２號２樓（地圖),1,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
童一家,明生診所,04-26561456,臺中市梧棲區中央路一段９３１號１樓（地圖),1,,,,,,1,1
963183781,,,,,,,,,,,
平安(原名稱:微笑東勢),甲后莊醫師診所,04-25586608,臺中市后里區甲后路一段４８０號１樓（地圖),1,,,,,,1,
800532870,,,,,,,,,,,
天使團隊,嘉家診所,04-25572687,臺中市后里區民生路８２號１樓（地圖),1,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
心分享,后豐診所,04-25585358,臺中市后里區三豐路四段６１號１、２、３樓（地圖),1,,,,,,,
04-25345885,,,,,,,,,,,
樸善居家醫療團隊,欣源美診所,04-25633059,臺中市神岡區神岡路４５－１號１樓（地圖),1,,,,,,1,1
04-22657959,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
祐健康,,,,,,,,,,,
臺中榮民總醫院,安泰診所,04-25352796,臺中市潭子區潭興路三段８５號１樓（地圖),1,,,,,,,
23592525#3817,,,,,,,,,,,
中國醫藥大學附設醫院,淨新診所,04-25333399,臺中市潭子區中山路二段３９１巷５號１樓、４樓、５樓（地圖),1,,,,,,1,
0422052121#12656,,,,,,,,,,,
,,,,,,,,,,,
豐之采,,,,,,,,,,,
04-25254607,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
僕子居家醫療團隊,,,,,,,,,,,
04-26317654、04-25662590,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
僕子居家醫療團隊,尚群診所,04-25340838,臺中市潭子區中山路二段３８４－６號Ｂ１、１、２、３、４樓（地圖),1,,,,,,,
04-26317654、04-25662590,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
家康,,,,,,,,,,,
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
慈心,員宏診所,04-25607298,臺中市大雅區神林南路１９７巷５５－９號１樓（地圖),1,,,,,,,
04-22910337,,,,,,,,,,,
臺中榮民總醫院,黃國隆內科診所,04-25687536,臺中市大雅區民興街６１號１及２樓（地圖),1,,,,,,,
23592525#3817,,,,,,,,,,,
衛生福利部南投醫院,逸達診所,04-25676868,臺中市大雅區雅潭路四段６７７號１樓（部分）、２樓（部分）（地圖),1,,1,,,,,
985585891,,,,,,,,,,,
0492231150#5198,,,,,,,,,,,
0492246315#1317,,,,,,,,,,,
天使團隊,德昌小兒科診所,04-23372686,臺中市烏日區中山路一段３３５號１樓（地圖),1,,,,,,,1
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
,,,,,,,,,,,
長安醫院居家醫療照護團隊,,,,,,,,,,,
0436113611-3692,,,,,,,,,,,
心分享,英和診所,04-23376998,臺中市烏日區中山路１段３６７號１樓（地圖),1,,,,,,,1
04-25345885,,,,,,,,,,,
,,,,,,,,,,,
臺安醫院雙十分院居家醫療照護團隊,,,,,,,,,,,
0422268990#2210,,,,,,,,,,,
,,,,,,,,,,,
健康,,,,,,,,,,,
(04)2235-1685,,,,,,,,,,,
家康,慈祐診所,04-23368633,臺中市烏日區中山路１段５４８號１樓、５４８之１號１樓（地圖),1,,,,,,1,1
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
,,,,,,,,,,,
中國醫藥大學附設醫院,,,,,,,,,,,
0422052121#12656,,,,,,,,,,,
,,,,,,,,,,,
童一家,,,,,,,,,,,
963183781,,,,,,,,,,,
,,,,,,,,,,,
僕子居家醫療團隊,,,,,,,,,,,
04-26317654、04-25662590,,,,,,,,,,,
,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
國際慈善事業聯盟,,,,,,,,,,,
963354973,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
家康,松群診所,04-23386690,臺中市烏日區公園路８８號１樓、２樓、３樓（地圖),1,,,,,,1,
(04)22250505,,,,,,,,,,,
963620885,,,,,,,,,,,
,,,,,,,,,,,
天使團隊,,,,,,,,,,,
926362636,,,,,,,,,,,
04-25771809,,,,,,,,,,,
04-25773481,,,,,,,,,,,
,,,,,,,,,,,
平安(原名稱:微笑東勢),,,,,,,,,,,
800532870,,,,,,,,,,,
,,,,,,,,,,,
國際慈善事業聯盟,,,,,,,,,,,
963354973,,,,,,,,,,,
,,,,,,,,,,,
自家安老居家整合照護團隊,,,,,,,,,,,
04-24360305,,,,,,,,,,,
,,,,,,,,,,,
臺中榮民總醫院,,,,,,,,,,,
23592525#3817,,,,,,,,,,,
健康,順馨診所,04-23360115,臺中市烏日區中山路二段２９７號１樓（地圖),1,,,,,,,
(04)2235-1685,,,,,,,,,,,
中山,全能家庭醫學科診所,04-23362629,臺中市烏日區公園路２４０號１樓（地圖),1,,,,,,1,1
04-36032871,,,,,,,,,,,
平安(原名稱:微笑東勢),百健診所,04-26999920,臺中市大肚區沙田路二段６１４號１樓（地圖),1,,,,,,1,
800532870,,,,,,,,,,,
臺中榮民總醫院,全家診所,04-26330053,臺中市龍井區臺灣大道五段１０９巷２５號、２７號１樓（地圖),1,,,,,,,1
23592525#3817,,,,,,,,,,,
,,,,,,,,,,,
童一家,,,,,,,,,,,
963183781,,,,,,,,,,,
,,,,,,,,,,,
澄清綜合醫院中港分院,,,,,,,,,,,
24632000#32646,,,,,,,,,,,
24632000#32648,,,,,,,,,,,
,,,,,,,,,,,
光田醫院,,,,,,,,,,,
