醫事機構代碼,醫事機構名稱,主責機構註記,醫事機構地址,醫事機構電話,生效起日,生效迄日,整合團隊代碼,整合團隊名稱
3439030031,雲林縣虎尾鎮農會附設中醫診所,,雲林縣虎尾鎮新興里光復路１８５號,(05)6337375,20210121,29101231,HM39060001,中國北港居家醫療整合團隊
3441120013,臺南市下營區農會附設診所,,臺南市下營區新興里中山路一段３２２號１樓,(06)6891123,20170925,29101231,HM05040001,麻豆新樓愛到家居家醫療照護團隊
3501010414,松山內兒科診所,,臺北市松山區八德路４段２５５號,(02)27658676,20250804,29101231,HM31060002,馨安居家醫療照護團隊
3501010763,陳炳堅內科診所,,臺北市松山區延壽街３２７號,(02)27637199,20180824,29101231,HM01190001,青年公園居家醫療照護團隊
3501010932,吳慶南內科診所,,臺北市松山區民生東路５段１３８巷１號,(02)27659566,20231207,29101231,HM01170001,北醫居家照護團隊
3501012838,閎新耳鼻喉科皮膚科聯合診所,,臺北市松山區八德路３段２０－２號,(02)25779898,20161024,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501012838,閎新耳鼻喉科皮膚科聯合診所,,臺北市松山區八德路３段２０－２號,(02)25779898,20250901,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501013059,親親家庭診所,,臺北市松山區南京東路５段３４７號,(02)25283232,20210915,29101231,HM01110001,三軍總醫院居家醫療團隊
3501013157,大家好診所,,臺北市松山區民生東路４段８０巷１１弄２號１樓,(02)27138819,20161024,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501013237,宇恩復健科診所,,臺北市松山區民權東路３段１４０巷１５號３樓,(02)87126978,20180824,29101231,HM01190001,青年公園居家醫療照護團隊
3501015017,樂康診所,,臺北市松山區八德路３段２１３號（１樓）,(02)25788360,20230119,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501015562,畇力診所,,臺北市松山區富錦街５１２號１樓,(02)27659022,20240716,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501021480,林青穀家庭醫學科診所,,臺北市大安區大安路１段２－１號,(02)27317557,20220709,29101231,HM01190001,青年公園居家醫療照護團隊
3501021579,沈德昌診所,,臺北市大安區四維路１８９號,(02)27035300,20220906,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501022496,仁安診所,,臺北市大安區和平東路２段１７５巷３４號１樓,(02)27065995,20160829,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501022638,張尚哲婦產科診所,,臺北市大安區忠孝東路４段２１０號４樓,(02)27721222,20250418,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501022745,張渝醫師診所,,臺北市大安區基隆路２段２７０號１樓,(02)27321318,20180518,29101231,HM01190001,青年公園居家醫療照護團隊
3501023555,黃清浩耳鼻喉科診所,,臺北市大安區光復南路４３０號,(02)27085413,20180607,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501025255,適健復健科診所,,臺北市大安區忠孝東路４段１６６號８、９樓,(02)87717039,20180518,29101231,HM01190001,青年公園居家醫療照護團隊
3501025255,適健復健科診所,,臺北市大安區忠孝東路４段１６６號８、９樓,(02)87717039,20180927,29101231,HM01170001,北醫居家照護團隊
3501025255,適健復健科診所,,臺北市大安區忠孝東路４段１６６號８、９樓,(02)87717039,20191008,29101231,HM01110001,三軍總醫院居家醫療團隊
3501025791,和平大愛眼科診所,,臺北市大安區和平東路１段６號２樓,(02)23652727,20181126,29101231,HM01110001,三軍總醫院居家醫療團隊
3501029593,聖侯診所,,臺北市大安區樂業街１３９號,(02)27350220,20210803,29101231,HM01190001,青年公園居家醫療照護團隊
350102A189,立喆診所,,臺北市大安區建國南路２段１５１巷５２號,(02)27075826,20240603,29101231,HM01110001,三軍總醫院居家醫療團隊
350102A189,立喆診所,,臺北市大安區建國南路２段１５１巷５２號,(02)27075826,20240507,29101231,HM01160002,仁和居家醫療照護團隊
350102D135,李細祥內科診所,,臺北市大安區四維路１９８巷３０弄５號,(02)27018159,20240115,29101231,HM01110001,三軍總醫院居家醫療團隊
350102E972,行一診所,,臺北市大安區新生南路３段１９巷８號３樓之１,(02)27840735,20200610,29101231,HM01170001,北醫居家照護團隊
350102E972,行一診所,,臺北市大安區新生南路３段１９巷８號３樓之１,(02)27840735,20190920,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
350102E972,行一診所,,臺北市大安區新生南路３段１９巷８號３樓之１,(02)27840735,20191008,29101231,HM01110001,三軍總醫院居家醫療團隊
350102E972,行一診所,,臺北市大安區新生南路３段１９巷８號３樓之１,(02)27840735,20190903,29101231,HM01190001,青年公園居家醫療照護團隊
350102E972,行一診所,,臺北市大安區新生南路３段１９巷８號３樓之１,(02)27840735,20240412,29101231,HM01180002,臺大醫院居家醫療團隊
350102E972,行一診所,,臺北市大安區新生南路３段１９巷８號３樓之１,(02)27840735,20200701,29101231,HM01200001,萬芳團隊
350102G636,安澐診所,,臺北市大安區復興南路２段１５０號（１樓）,(02)27007800,20221001,29101231,HM31010001,亞東居醫團隊
350102G823,仁生復健科診所,,臺北市大安區信義路４段２６５巷１７號１樓、１７號２樓,(02)27030336,20230223,29101231,HM01170001,北醫居家照護團隊
350102I587,瑞森診所,,臺北市大安區信義路３段１３４巷１００號１樓,(02)27076002,20241228,29101231,HM01190001,青年公園居家醫療照護團隊
3501091508,包眼科診所,,臺北市大同區保安街５４－１號,(02)25537526,20221001,29101231,HM01090002,大台北居家醫療照護團隊
3501093011,廣博診所,,臺北市大同區長安西路２２０巷５號,(02)25594775,20170915,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501093584,建順診所,V,臺北市大同區甘州街５１號,(02)25573250,20190122,29101231,HM01090002,大台北居家醫療照護團隊
3501093717,宜康復健科診所,,臺北市大同區民族西路１２４號、１２４－１號、１２６號,(02)25851555,20190725,29101231,HM01190001,青年公園居家醫療照護團隊
3501093968,紘成診所,,臺北市大同區長安西路５３巷７弄１之１號１樓,(02)25592412,20230515,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501093968,紘成診所,,臺北市大同區長安西路５３巷７弄１之１號１樓,(02)25592412,20180618,29101231,HM01190001,青年公園居家醫療照護團隊
3501094090,賢福診所,,臺北市大同區民權西路１４８號２樓,(02)25577307,20211210,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501101787,周賢章耳鼻喉科診所,,臺北市中山區天祥路２６號,(02)25213101,20240617,29101231,HM01160002,仁和居家醫療照護團隊
3501102622,宗北內科診所,,臺北市中山區民生西路２４號４樓,(02)25411001,20240603,29101231,HM01110001,三軍總醫院居家醫療團隊
3501102622,宗北內科診所,,臺北市中山區民生西路２４號４樓,(02)25411001,20240507,29101231,HM01160002,仁和居家醫療照護團隊
3501103076,德容聯合診所,,臺北市中山區吉林路１９７號、１９７號２樓,(02)25643076,20240603,29101231,HM01110001,三軍總醫院居家醫療團隊
3501103076,德容聯合診所,,臺北市中山區吉林路１９７號、１９７號２樓,(02)25643076,20221001,29101231,HM01090002,大台北居家醫療照護團隊
3501103076,德容聯合診所,,臺北市中山區吉林路１９７號、１９７號２樓,(02)25643076,20161109,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501103076,德容聯合診所,,臺北市中山區吉林路１９７號、１９７號２樓,(02)25643076,20240507,29101231,HM01160002,仁和居家醫療照護團隊
3501103567,大直復健科診所,,臺北市中山區北安路６３０巷２５弄１６號,(02)85096363,20190725,29101231,HM01190001,青年公園居家醫療照護團隊
3501105310,高固亷診所,,臺北市中山區北安路５９５巷１號地下１層、６２１巷６弄２號１樓,(02)25323036,20180315,29101231,HM01110001,三軍總醫院居家醫療團隊
3501106111,信安診所,,臺北市中山區民生西路２４號３樓,(02)25118112,20170515,29101231,HM01190001,青年公園居家醫療照護團隊
3501106479,京硯皮膚科診所,,臺北市中山區長春路２１０號、２１２號、２１２之１，之２號,(02)2503-1076,20190226,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501107565,雙連婦產科小兒科診所,,臺北市中山區民生西路３０號４樓,(02)25222350,20230505,29101231,HM01190001,青年公園居家醫療照護團隊
3501107574,榮星診所,,臺北市中山區龍江路２７４號１樓及２８０號１樓、２樓,(02)25168112,20241119,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501107645,惟亷診所,,臺北市中山區北安路５９５巷１號地下一層、６０７號（１樓）,(02)25323038,20180315,29101231,HM01110001,三軍總醫院居家醫療團隊
3501108213,景亷復健科診所,,臺北市中山區北安路５９５巷１號地下１層,(02)25323036,20180315,29101231,HM01110001,三軍總醫院居家醫療團隊
3501108277,固亷診所,,臺北市中山區北安路５９５巷１號地下一層、６２１巷６弄２號１樓,(02)25323036,20180315,29101231,HM01110001,三軍總醫院居家醫療團隊
3501108320,鈺璽診所,,臺北市中山區南京東路２段１３２號４樓,(02)25095569,20180518,29101231,HM01190001,青年公園居家醫療照護團隊
350110A262,長安東診所,,臺北市中山區長安東路２段５０之２號１樓,(02)25670014,20230714,29101231,HM01160002,仁和居家醫療照護團隊
350110A422,中崙國際診所,,臺北市中山區八德路２段３０３號１樓３０５號３０７號１樓２樓,(02)27711501,20231115,29101231,HM01190001,青年公園居家醫療照護團隊
3501110080,陳森豊診所,,臺北市內湖區環山路１段２號１樓及２樓,(02)27990361,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501110231,康育診所,,臺北市內湖區成功路３段１８９號２樓,(02)27909134,20200109,29101231,HM11070002,紫薇居家醫療團隊
3501110231,康育診所,,臺北市內湖區成功路３段１８９號２樓,(02)27909134,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501110286,丁大元診所,,臺北市內湖區東湖路１１９巷４９弄４號１樓,(02)26331010,20220414,29101231,HM01190001,青年公園居家醫療照護團隊
3501110286,丁大元診所,,臺北市內湖區東湖路１１９巷４９弄４號１樓,(02)26331010,20181126,29101231,HM01110001,三軍總醫院居家醫療團隊
3501110482,雙湖診所,,臺北市內湖區金龍路４９號１樓,(02)27910066,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501110508,達美皮膚專科診所,,臺北市內湖區成功路４段２２０號１樓２樓,(02)27920218,20180824,29101231,HM01190001,青年公園居家醫療照護團隊
3501110571,劉淦華診所,,臺北市內湖區金龍路４３號１樓,(02)27905374,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501110679,施耳鼻喉科診所,,臺北市內湖區東湖路１２７號１樓,(02)26331018,20180824,29101231,HM01190001,青年公園居家醫療照護團隊
3501110982,馬思特診所,,臺北市內湖區成功路４段５３號１樓,(02)27925994,20180806,29101231,HM01190001,青年公園居家醫療照護團隊
3501110982,馬思特診所,,臺北市內湖區成功路４段５３號１樓,(02)27925994,20180907,29101231,HM01110001,三軍總醫院居家醫療團隊
3501111005,吳振光眼科診所,,臺北市內湖區成功路４段４２號３樓５樓,(02)27925399,20170515,29101231,HM01190001,青年公園居家醫療照護團隊
3501112235,康寧診所,,臺北市內湖區康寧路１段１４４號１樓,(02)87910214,20170509,29101231,HM01190001,青年公園居家醫療照護團隊
3501112324,內湖長春診所,,臺北市內湖區民權東路６段６４號,(02)27926868,20200902,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501112324,內湖長春診所,,臺北市內湖區民權東路６段６４號,(02)27926868,20241002,29101231,HM01190001,青年公園居家醫療照護團隊
3501112904,成安耳鼻喉科診所,,臺北市內湖區成功路４段６１巷１０號,(02)27935940,20161024,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501113036,祐生復健科診所,,臺北市內湖區康寧路３段５４之７號、５４之１１號,(02)26341998,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501113090,誠康診所,,臺北市內湖區內湖路１段５８５號,(02)26572585,20201029,29101231,HM01190001,青年公園居家醫療照護團隊
3501113116,夏一新身心精神科診所,,臺北市內湖區成功路３段１４３號４樓,(02)87928213,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501113134,焉醫師診所,,臺北市內湖區內湖路２段２１號,(02)27995008,20210701,29101231,HM01110001,三軍總醫院居家醫療團隊
3501113330,仁弘耳鼻喉科診所,,臺北市內湖區內湖路１段７３７巷５０弄３３號１樓,(02)26596360,20170816,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501113401,維仁診所,,臺北市內湖區民權東路６段１３６巷４號,(02)27923829,20180418,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501113849,育睿診所,,臺北市內湖區內湖路１段２１７巷３５號,(02)26560801,20160716,29101231,HM01190001,青年公園居家醫療照護團隊
3501113849,育睿診所,,臺北市內湖區內湖路１段２１７巷３５號,(02)26560801,20240220,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501113849,育睿診所,,臺北市內湖區內湖路１段２１７巷３５號,(02)26560801,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501114024,康研診所,,臺北市內湖區瑞光路４１９號１樓,(02)26577257,20200806,29101230,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501114113,思維診所,,臺北市內湖區文德路２５號,(02)26574559,20240603,29101231,HM01110001,三軍總醫院居家醫療團隊
3501114122,陽光活力診所,,臺北市內湖區瑞光路５００號１樓及５０２號２樓,(02)87973828,20200806,29101230,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501114202,葫洲診所,,臺北市內湖區康寧路３段３５、３７號,(02)26306606,20220317,29101231,HM31060001,好鄰居
3501114300,麗康診所,,臺北市內湖區金湖路３６２號,(02)26342296,20210309,29101231,HM01190001,青年公園居家醫療照護團隊
3501114328,瑞康診所,,臺北市內湖區江南街９６巷３號,(02)26599691,20210309,29101231,HM01190001,青年公園居家醫療照護團隊
3501114686,高峰診所,,臺北市內湖區內湖路２段３９號１樓,(02)26591888,20231026,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501120157,黃家庭醫學科診所,,臺北市南港區研究院路１段１６１號,(02)27820908,20161024,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501120353,劉聖亞診所,,臺北市南港區興華路８２號１樓,(02)27880713,20190311,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501121743,永育醫療福德診所,,臺北市南港區福德街３２０號１樓,(02)27850700,20181004,29101231,HM01110001,三軍總醫院居家醫療團隊
3501121743,永育醫療福德診所,,臺北市南港區福德街３２０號１樓,(02)27850700,20180320,29101231,HM01190001,青年公園居家醫療照護團隊
3501121770,天慈婦產科診所,,臺北市南港區同德路３７號１樓,(02)27855176,20170327,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501121814,李文珍小兒科診所,,臺北市南港區研究院路２段７４號,(02)26511871,20190902,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501121814,李文珍小兒科診所,,臺北市南港區研究院路２段７４號,(02)26511871,20190718,29101231,HM01110001,三軍總醫院居家醫療團隊
3501122115,南港復健科診所,,臺北市南港區南港路１段１７２號,(02)26535856,20210528,29101231,HM01110001,三軍總醫院居家醫療團隊
3501150575,鄭醫師診所,,臺北市士林區延平北路５段１２０號１、２樓,(02)28127412,20210527,29101231,HM01160002,仁和居家醫療照護團隊
3501151269,粱耳鼻喉科診所,,臺北市士林區社正路１２－１號,(02)28168456,20201225,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501151269,粱耳鼻喉科診所,,臺北市士林區社正路１２－１號,(02)28168456,20170314,29101231,HM01160002,仁和居家醫療照護團隊
3501151974,蕭雨青小兒科診所,,臺北市士林區延平北路５段２９２號１樓,(02)28126415,20160630,29101231,HM01160002,仁和居家醫療照護團隊
3501151983,葉耳鼻喉科診所,,臺北市士林區延平北路５段２１８號,(02)28167318,20180607,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501153781,林志聰皮膚科診所,,臺北市士林區文昌路２６號,(02)28327989,20171024,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501154206,天母品恆復健科診所,,臺北市士林區忠誠路１段１３５、１３７號１樓（詳大事記）,(02)28386855,20241228,29101231,HM01190001,青年公園居家醫療照護團隊
3501154260,揚德健康診所,,臺北市士林區中正路４３６號（１、２樓）,(02)28362868,20210323,29101231,HM01160002,仁和居家醫療照護團隊
3501154279,科安診所,,臺北市士林區社中街１１６號,(02)28110699,20240620,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501154288,天母康健身心診所,,臺北市士林區福華路１５７巷３號１樓,(02)28378787,20160922,29101231,HM01160002,仁和居家醫療照護團隊
3501154288,天母康健身心診所,,臺北市士林區福華路１５７巷３號１樓,(02)28378787,20180920,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501154420,榮清耳鼻喉科診所,,臺北市士林區文林路４８３號（１、２樓）,(02)28316878,20250206,29101231,HM01150001,新光醫院居家醫療照護團隊
3501154519,貝爾診所,,臺北市士林區中山北路７段８２巷９號,(02)28729980,20200513,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501154724,心築身心診所,,臺北市士林區劍潭路２８號１樓、３０號１樓,(02)28856572,20230111,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501154902,宜達診所,,臺北市士林區前港街８６號１樓,(02)28833678,20240305,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501160231,洪耳鼻喉科診所,V,臺北市北投區中央南路１段４３號,(02)28928769,20160520,29101231,HM01160002,仁和居家醫療照護團隊
3501160231,洪耳鼻喉科診所,,臺北市北投區中央南路１段４３號,(02)28928769,20180920,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501160286,永安家庭醫學科診所,,臺北市北投區中央北路１段１７２號（實際使用：一、二層）,(02)28940888,20160520,29101231,HM01160002,仁和居家醫療照護團隊
3501160973,蔡秉勳小兒科診所,,臺北市北投區中和街２８１號１樓,(02)28966525,20170401,29101231,HM01160002,仁和居家醫療照護團隊
3501161032,陳獻明小兒科診所,,臺北市北投區中央南路１段６９號１樓,(02)28928950,20170314,29101231,HM01160002,仁和居家醫療照護團隊
3501161121,邱耳鼻喉科診所,,臺北市北投區石牌路１段２３號１、２樓,(02)28279222,20170616,29101231,HM01160002,仁和居家醫療照護團隊
3501161363,昱德聯合診所,,臺北市北投區光明路１０２號,(02)28975050,20170616,29101231,HM01160002,仁和居家醫療照護團隊
3501162502,惠康診所,,臺北市北投區西安街２段１１３號,(02)28283964,20160520,29101231,HM01160002,仁和居家醫療照護團隊
3501162664,王永良診所,,臺北市北投區自強街９４號,(02)28227287,20160922,29101231,HM01160002,仁和居家醫療照護團隊
3501162673,翰譽耳鼻喉科診所,,臺北市北投區中央南路１段１８９號,(02)28959986,20170314,29101231,HM01160002,仁和居家醫療照護團隊
3501162726,王景平眼科診所,,臺北市北投區中央南路１段２０５號,(02)28946580,20170314,29101231,HM01160002,仁和居家醫療照護團隊
3501162879,陳珀勳診所,,臺北市北投區明德路７５號１樓,(02)28206263,20200806,29101230,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501163018,光明診所,,臺北市北投區石牌路２段９９巷５５號１、２樓,(02)28210197,20200806,29101230,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501163036,黃正宏診所,,臺北市北投區西安街１段３５９號,(02)28217076,20160627,29101231,HM01190001,青年公園居家醫療照護團隊
3501163036,黃正宏診所,,臺北市北投區西安街１段３５９號,(02)28217076,20191022,29101230,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501163312,台北欣安耳鼻喉科診所,,臺北市北投區石牌路１段１５２號,(02)28210501,20220325,29101231,HM01160002,仁和居家醫療照護團隊
3501163410,石牌鄭身心醫學診所,,臺北市北投區石牌路１段６９號（實際地址：１、２樓）,(02)28227660,20180814,29101231,HM01160002,仁和居家醫療照護團隊
3501163509,常哲診所,,臺北市北投區明德路１５７－４號（實際使用：１樓）,(02)28285515,20210129,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501163509,常哲診所,,臺北市北投區明德路１５７－４號（實際使用：１樓）,(02)28285515,20210528,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501170255,朱耳鼻喉科診所,,臺北市信義區忠孝東路５段４５２號,(02)27209172,20220112,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501170255,朱耳鼻喉科診所,,臺北市信義區忠孝東路５段４５２號,(02)27209172,20170711,29101231,HM01190001,青年公園居家醫療照護團隊
3501171225,張育驍診所,,臺北市信義區吳興街４６７巷２弄４號、６號、６號２樓（詳大事記,(02)27291011,20180320,29101231,HM01190001,青年公園居家醫療照護團隊
3501172893,姚醫師診所,,臺北市信義區忠孝東路５段３９６號２樓,(02)87898822,20181217,29101231,HM01190001,青年公園居家醫療照護團隊
3501172893,姚醫師診所,,臺北市信義區忠孝東路５段３９６號２樓,(02)87898822,20250804,29101231,HM31060002,馨安居家醫療照護團隊
3501172893,姚醫師診所,,臺北市信義區忠孝東路５段３９６號２樓,(02)87898822,20161024,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501172893,姚醫師診所,,臺北市信義區忠孝東路５段３９６號２樓,(02)87898822,20181004,29101231,HM01110001,三軍總醫院居家醫療團隊
3501173103,陳世卿診所,,臺北市信義區莊敬路４３５號,(02)87803565,20220927,29101231,HM01170001,北醫居家照護團隊
3501173176,德明眼科診所,,臺北市信義區松山路２１２號,(02)27669980,20220112,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501173176,德明眼科診所,,臺北市信義區松山路２１２號,(02)27669980,20170711,29101231,HM01190001,青年公園居家醫療照護團隊
3501173336,登瑞安診所,,臺北市信義區林口街２３２號１樓,(02)27265228,20161024,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501173336,登瑞安診所,,臺北市信義區林口街２３２號１樓,(02)27265228,20250804,29101231,HM31060002,馨安居家醫療照護團隊
3501173425,林應然小兒科診所,,臺北市信義區福德街７５號,(02)27595328,20170515,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501173425,林應然小兒科診所,,臺北市信義區福德街７５號,(02)27595328,20161021,29101231,HM01190001,青年公園居家醫療照護團隊
3501173907,松德精神科診所,,臺北市信義區松德路１０８號,(02)87894477,20240603,29101231,HM01110001,三軍總醫院居家醫療團隊
3501173907,松德精神科診所,,臺北市信義區松德路１０８號,(02)87894477,20240507,29101231,HM01160002,仁和居家醫療照護團隊
3501174093,自在診所,,臺北市信義區中坡南路８４號,(02)27268199,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501174477,仁瀚骨科診所,,臺北市信義區信安街１５１號,(02)27368768,20170711,29101231,HM01190001,青年公園居家醫療照護團隊
3501174477,仁瀚骨科診所,,臺北市信義區信安街１５１號,(02)27368768,20240126,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501174495,伯特利身心診所,,臺北市信義區光復南路４２１號２樓,(02)27200938,20171002,29101231,HM01190001,青年公園居家醫療照護團隊
3501174495,伯特利身心診所,,臺北市信義區光復南路４２１號２樓,(02)27200938,20171121,29101231,HM01110001,三軍總醫院居家醫療團隊
3501174726,飛悅皮膚科診所,,臺北市信義區忠孝東路５段５０８號１樓、地下１層、１３樓之１,(02)27272020,20180618,29101231,HM01190001,青年公園居家醫療照護團隊
3501175009,弘安診所,,臺北市信義區松信路４３號,(02)27667868,20220927,29101231,HM01170001,北醫居家照護團隊
3501175018,順康復健科診所,,臺北市信義區莊敬路３６２號、３６４號、３６４號２樓,(02)23450011,20200807,29101231,HM01170001,北醫居家照護團隊
3501175385,栢麗恆全人診所,,臺北市信義區忠孝東路５段４３１號２樓,(02)27657065,20210225,29101231,HM01160003,臺北榮民總醫院居家醫療照護團隊
3501175385,栢麗恆全人診所,,臺北市信義區忠孝東路５段４３１號２樓,(02)27657065,20210309,29101231,HM01190001,青年公園居家醫療照護團隊
3501175385,栢麗恆全人診所,,臺北市信義區忠孝東路５段４３１號２樓,(02)27657065,20210331,29101231,HM01160002,仁和居家醫療照護團隊
3501175385,栢麗恆全人診所,,臺北市信義區忠孝東路５段４３１號２樓,(02)27657065,20211201,29101231,HM01150001,新光醫院居家醫療照護團隊
3501175465,嚴敏心耳鼻喉科診所,,臺北市信義區信義路６段８６號１樓,(02)27279558,20240507,29101231,HM01160002,仁和居家醫療照護團隊
3501175465,嚴敏心耳鼻喉科診所,,臺北市信義區信義路６段８６號１樓,(02)27279558,20240603,29101231,HM01110001,三軍總醫院居家醫療團隊
3501175670,杏仁復健科診所,,臺北市信義區永吉路２２７號（１、２樓）,(02)27568600,20240509,29101231,HM01170001,北醫居家照護團隊
3501175929,承功診所,,臺北市信義區忠孝東路５段３７２巷２７弄６４號１樓,(02)23456772,20250905,29101231,HM01190001,青年公園居家醫療照護團隊
3501175929,承功診所,,臺北市信義區忠孝東路５段３７２巷２７弄６４號１樓,(02)23456772,20250410,29101231,HM11070002,紫薇居家醫療團隊
3501181258,林診所,,臺北市中正區寧波東街２２號,(02)23921100,20170816,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501181589,同泰診所,,臺北市中正區汀州路２段１３６，１３８號,(02)23678511,20190225,29101231,HM01200001,萬芳團隊
3501181589,同泰診所,,臺北市中正區汀州路２段１３６，１３８號,(02)23678511,20170816,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501181614,張孟源內科診所,,臺北市中正區中華路２段３２５號,(02)23098600,20220513,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501181767,惠恩診所,,臺北市中正區濟南路２段４８巷３之２號,(02)23919572,20240603,29101231,HM01110001,三軍總醫院居家醫療團隊
3501181767,惠恩診所,,臺北市中正區濟南路２段４８巷３之２號,(02)23919572,20201127,29101231,HM01160002,仁和居家醫療照護團隊
3501183592,奕康耳鼻喉科診所,,臺北市中正區連雲街７２號２樓,(02)23212788,20161024,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501183850,健康101診所,,臺北市中正區牯嶺街９７號１樓,(02)23645143,20160627,29101231,HM01190001,青年公園居家醫療照護團隊
3501184384,匯安診所,,臺北市中正區和平西路１段２０號５樓,(02)23637588,20200810,29101231,HM01190001,青年公園居家醫療照護團隊
3501185685,家禾診所,,臺北市中正區三元街２１７號１樓、２樓,(02)23331368,20180618,29101231,HM01190001,青年公園居家醫療照護團隊
3501186011,鈞安診所,,臺北市中正區中華路２段４３１號,(02)23092030,20220427,29101231,HM01110001,三軍總醫院居家醫療團隊
3501186726,沐生醫學診所,,臺北市中正區南昌路１段１３２號１樓,(02)23979885,20250613,29101231,HM01190001,青年公園居家醫療照護團隊
3501192528,聖約翰婦產科診所,,臺北市萬華區東園街１７５號,(02)23098502,20190927,29101231,HM31060002,馨安居家醫療照護團隊
3501192537,裕仁診所,,臺北市萬華區萬大路１１７號２樓、西藏路２９２號２樓,(02)23363229,20160627,29101231,HM01190001,青年公園居家醫療照護團隊
3501192733,天行健診所,,臺北市萬華區寶興街１２１、１２５、１２７號,(02)23320688,20181012,29101231,HM31060002,馨安居家醫療照護團隊
3501192804,長泰耳鼻喉科診所,,臺北市萬華區萬大路２７０號,(02)23076869,20230616,29101231,HM31060002,馨安居家醫療照護團隊
3501194166,新和診所,,臺北市萬華區萬大路２８４號,(02)23077007,20231214,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
3501194237,維恩耳鼻喉科診所,,臺北市萬華區萬大路４４６號,(02)23056936,20230616,29101231,HM31060002,馨安居家醫療照護團隊
3501194308,豪診所,,臺北市萬華區萬大路２３４號,(02)23094892,20221206,29101231,HM31030002,安康喜樂居家醫療照護團隊
3501194424,快樂兒童診所,,臺北市萬華區寶興街１２１、１２５、１２７號,(02)23328610,20200309,29101231,HM31060002,馨安居家醫療照護團隊
3501194648,光耳鼻喉科診所,,臺北市萬華區青年路９０號,(02)23077565,20200204,29101231,HM01100001,萬華醫院團隊
3501194657,永康診所,,臺北市萬華區桂林路４７號１樓２樓及地下１樓,(02)23123455,20231214,29101231,HM01090001,臺北藍鵲居家醫療照護團隊
